Timestamp,word,造句（请给出一则造句）,备注：,创建时间,词性,出处,Link:,创建用户,解释+出处：,短释义,视频或图片补充
5/28/2021 1:26:07,骚瑞,“迪丽热妈，丑笔畅，赵立弄，骚凹瑞~” --朱丹,,12/11/2019,"生活, 饭圈",出自主持人朱丹在Cosmo颁奖典礼上的口误，她在台上采访嘉宾的时候把“古力娜扎”叫成了“迪丽热妈”后尴尬的转过身说出了一声“骚瑞～”。她后来又一连串的叫错了几位女星的名字，最后又把“热巴”叫成了“娜扎”。,https://jikipedia.com/definition/16470660    ,ellalala,“Sorry (对不起)” 的谐音，后来又意为不好的东西，不好的事情，失态，失去控制等等。,,https://www.bilibili.com/video/BV1KJ411B7hC/?spm_id_from=333.788.recommend_more_video.4
5/28/2021 1:36:59,嘤嘤嘤,小词在家天天这样对她的男票说道：“嘤嘤嘤，你整天都忙着工作，没时间陪人家玩 ;-;”,,2/1/2017,"生活, 直播, 二次元",出自一段网络聊天：(｡·ˇ‸ˇ·｡)哼! 都怪你 (`ȏ´) 也不哄哄人家(〃′o`)人家超想哭的，捶你胸口，大坏蛋！！！(￣^￣)ゞ咩QAQ捶你胸口 你好讨厌！(=ﾟωﾟ)ﾉ要抱抱嘤嘤嘤哼，人家拿小拳拳捶你胸口！！！(｡· ^·̀｡)大坏蛋，打死你(つд⊂)。,https://baike.baidu.com/item/%E5%98%A4%E5%98%A4/22315201,ellalala,表示委屈哭泣的声音（多带卖萌属性）。,,https://drive.google.com/open?id=19mK8eXI2oNbgibGPJcb0-pX2StrTpv9u
5/28/2021 1:52:23,我不要你觉得，我要我觉得,甲方：“我觉得你做的这个不行” 乙方：“我不要你觉得，我只要我觉得”。,,8/16/2019,"生活, 直播, 饭圈",出自于2019年暑期热播的综艺节目《中餐厅第三季》中嘉宾黄晓明的经典语句。节目中，当另一名嘉宾杨紫手指受伤觉得不用去医院的时候，黄晓明说：“我不要你觉得，我要我觉得！”,https://baike.baidu.com/item/%E6%88%91%E4%B8%8D%E8%A6%81%E4%BD%A0%E8%A7%89%E5%BE%97%EF%BC%8C%E6%88%91%E8%A6%81%E6%88%91%E8%A7%89%E5%BE%97,ellalala,表现出不顾及其他人的意见，过度自信及独断专行的特点，通常用于描述性格霸道的人。,,
5/28/2021 17:41:55,不会吧不会吧,小词唱国歌的时候被口水噎住了，同桌小黄赶紧说道：“不会吧不会吧，不会真的有人不知道国歌怎么唱吧。”,（最好有图片解释）,5/4/2020,"生活, 游戏, 直播, 饭圈",出自游戏主播山泥若。被别人恶心到时，他就会说：“嗷，嗷，别恶心我” 恶心别人时就会说：“不会真有人XXX吧”。山泥若经常使用这句话恶心别人，由于他的粉丝有很多是嗨粉，造梗传梗能力一流，把这句话传播出去了。,https://www.zhihu.com/question/381847765,fahygao,反问的语气词，表达自己对某些事情的否定和质疑。恶俗语境下，经常连用。加急语气可以表达直接否定或反讽。,,
5/31/2021 19:33:56,awsl,小词看到猫猫：“awsl，这只猫猫也太可爱了吧～”,,5/4/2018,"生活, 直播","出自2018年5月，因著名Virtual Youtuber物述有栖的可爱声线，在许多中文翻译视频中出现""啊，我死了""的弹幕。后因虚拟主播白上吹雪具有类似特征，粉丝在她的视频与直播平台中大规模刷起“awsl”的弹幕。",https://baike.baidu.com/item/AWSL/23306199#reference-[2]-23848763-wrap,fahygao,“啊我死了”的拼音首字母缩写。一般用来形容看到可爱的事物时激动的心情；如今已遍布令人感到开心幸福的场景中。,,
5/31/2021 19:42:55,油管,小黄偷偷告诉小词：“油管是用来看视频的你敢信！”,,2/15/2005,"生活, 学习",出自网友对Youtube的直译理解。因为读音You读作“油”，而tube的英文意思是“管子”，所以“油管”由此得名。,https://www.google.com/search?q=youtube+%E7%99%BE%E5%BA%A6&oq=youtube+%E7%99%BE%E5%BA%A6&aqs=chrome..69i57j69i64j69i60.4251j0j4&sourceid=chrome&ie=UTF-8,fahygao,美国视频网站Youtube的俗称。,,https://drive.google.com/open?id=1QJcBrjTLvueSgncKnugZMAC5TNO5FUZG
5/31/2021 19:47:54,优兔,小词对小黄说道：“优兔是用来看视频的？”小黄表示：“是啊！我之前不是跟你说油管是看视频的吗？”,,2/15/2005,"生活, 学习, 直播",出自网友对Youtube的读音直接中文翻译。因为读音Youtube跟“优兔”几乎一模一样，所以因此得名。,https://baike.baidu.com/item/YouTube,fahygao,美国视频网站Youtube的谐音。,,https://drive.google.com/open?id=1tILtecSkBqMhbdzWP_1q5rqDCLi2TmvA
5/31/2021 22:26:52,网红,小词小时候跟妈妈说长大后想当网红，结果被打了一顿后只想当科学家。,,12/1/1997,"生活, 游戏, 直播, 二次元, 饭圈",出自社交软件，大家对网络上有名气人士的称呼。最早可回溯到1997年第一个社交媒体平台SixDegrees.com的出现。,https://zh.wikipedia.org/wiki/%E7%B6%B2%E7%B5%A1%E7%B4%85%E4%BA%BA,fahygao,网络红人的简称。一般指因网络而走红的人。,,
5/31/2021 22:35:49,cpdd,每天小词玩王者荣耀前总有个改不掉的习惯：打开讨论圈，娴熟地打上：cpdd，我王者贼强！,,6/26/2019,"生活, 游戏, 直播",出自电竞圈，因泛滥于众多网游游戏大厅中所以没有具体的出处，但在手游王者荣耀中尤为普遍。,https://www.zhihu.com/question/63794652,fahygao,”CP滴滴“的首字母缩写，意为”找个人处对象，有意请联系我“。,,
5/31/2021 22:46:11,笑yue了,小词表示：“看了词堂这些搞笑的解释，我是真的笑yue了。”,,9/24/2020,生活,出自山东方言，“yue”指是干呕的意思；有呕吐的动作，但没有吐出来东西的情况。,https://www.zhihu.com/search?type=content&q=%E7%AC%91yue%E4%BA%86,fahygao,直译为笑到发出“哕”（呕吐）的声音，笑到吐了。通常表示很好笑的事情，也可用来表示反讽。,,
5/31/2021 22:51:39,xswl,小词每次看完德云社后脑子里唯一的感慨：“郭德纲的相声表演真的xswl哈哈哈哈哈”,,11/17/2016,"生活, 游戏, 直播",出自饭圈，源于饭圈网民对明星相关的搞笑事件评论，后来出圈广泛进入大众视野。,https://baike.baidu.com/item/xswl,fahygao,“笑死我了”的首字母拼音缩写。用于对搞笑事件的简单评论。,,
5/31/2021 22:58:45,友友们,50岁的小词每天清晨6点准时起床，他不是为了迎接太阳而是要做第一位在老友麻将群里打“友友们，早上好。”的人。,（最好配一个中老年的土味视频）,6/4/2020,"生活, 直播",来自于快手中，中老年人群体在直播时的说法。网友对这种卖萌不能反成梗的土味称呼进行支持与模仿；随后蔓延至其他各大社交网络。,https://www.mum.cc/q/11502,fahygao,“朋友们”的同义说法。,,
5/31/2021 23:05:28,舔狗,小词不敢相信为什么会有那么多人喜欢小黄，他决定探索下这舔狗努力背后存在的毅力与恒心。,,5/4/2016,"直播, 体育, 饭圈",出自于2016年百度贴吧，网友对疯狂热脸贴冷屁股的人的称呼，后来演变成一种常用的吐槽语被大家所熟知与使用。,https://baike.baidu.com/item/%E8%88%94%E7%8B%97/22893799,fahygao,形容具体的一类人：对方对自己没有好感的情况下，还一如即往地放下尊严地用热脸去贴冷屁股的人。,,
6/1/2021 16:26:46,火钳刘明,从前喜欢贴吧的小词天天在觉得好笑的帖子下面评论：“此贴必火，火钳刘明。”,,8/6/2013,"生活, 游戏, 直播",出自百度贴吧，网友发帖时，由于输入法的缘故，在输入“火前”的时候出现的是“火钳”，所以为了方便，“火前留名”也就变成了“火钳刘明”。 ,"https://baike.baidu.com/item/%E7%81%AB%E9%92%B3%E5%88%98%E6%98%8E#:~:text=%E7%81%AB%E9%92%B3%E5%88%98%E6%98%8E%E6%98%AF%E4%B8%80%E4%B8%AA,%E5%B8%96%E6%B7%B7%E4%B8%AA%E8%84%B8%E7%86%9F%E3%80%82",fahygao,“火前留名”的的谐音。指在帖子火之前留下自己的名字。,,
